iter	Passed	Remaining
0	50	50588
1	94	47377
2	133	44420
3	177	44182
4	209	41661
5	238	39586
6	267	37915
7	295	36698
8	323	35636
9	349	34643
10	391	35228
11	418	34496
12	534	40610
13	565	39820
14	594	39043
15	622	38278
16	662	38286
17	728	39766
18	762	39382
19	790	38731
20	816	38083
21	846	37611
22	872	37081
23	900	36620
24	926	36133
25	967	36237
26	1002	36116
27	1036	35983
28	1065	35688
29	1096	35438
30	1123	35132
31	1162	35157
32	1207	35388
33	1313	37324
34	1340	36951
35	1366	36589
36	1392	36250
37	1425	36083
38	1458	35943
39	1495	35895
40	1531	35817
41	1566	35725
42	1597	35553
43	1629	35397
44	1659	35220
45	1690	35051
46	1719	34864
47	1747	34653
48	1780	34560
49	1808	34355
50	1841	34260
51	1870	34102
52	1898	33922
53	1925	33738
54	1950	33520
55	1982	33422
56	2006	33201
57	2034	33035
58	2155	34374
59	2191	34332
60	2226	34266
61	2251	34066
62	2280	33916
63	2310	33795
64	2340	33665
65	2367	33499
66	2397	33380
67	2441	33458
68	2473	33371
69	2513	33390
70	2541	33255
71	2569	33121
72	2597	32990
73	2624	32843
74	2652	32719
75	2686	32662
76	2720	32616
77	2755	32569
78	2788	32508
79	2819	32425
80	2848	32319
81	2877	32213
82	2906	32110
83	2938	32045
84	2968	31952
85	2998	31863
86	3030	31801
87	3061	31729
88	3089	31623
89	3121	31558
90	3151	31478
91	3180	31390
92	3212	31334
93	3248	31313
94	3290	31349
95	3313	31205
96	3338	31080
97	3360	30932
98	3386	30821
99	3412	30710
100	3442	30645
101	3471	30567
102	3504	30523
103	3542	30517
104	3575	30478
105	3647	30763
106	3683	30743
107	3719	30721
108	3751	30662
109	3779	30577
110	3805	30481
111	3831	30381
112	3856	30273
113	3882	30175
114	3916	30142
115	3951	30109
116	3990	30118
117	4024	30078
118	4051	29992
119	4078	29912
120	4106	29830
121	4133	29750
122	4157	29646
123	4188	29587
124	4229	29609
125	4260	29555
126	4322	29712
127	4349	29628
128	4376	29550
129	4403	29471
130	4434	29414
131	4464	29357
132	4497	29319
133	4527	29260
134	4551	29160
135	4575	29070
136	4600	28982
137	4627	28902
138	4653	28826
139	4684	28773
140	4712	28708
141	4740	28646
142	4769	28586
143	4797	28519
144	4827	28464
145	4856	28409
146	4883	28337
147	4905	28240
148	4928	28149
149	4949	28049
150	4971	27951
151	4992	27852
152	5021	27796
153	5051	27747
